Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    Egz.   
Vardas2791          Pavarde2791         4      8      4      8      8      1      4      9      9      5      
Vardas2792          Pavarde2792         8      2      8      8      6      6      6      3      8      6      
Vardas2793          Pavarde2793         8      6      9      3      6      7      10     6      9      6      
Vardas2794          Pavarde2794         10     4      3      3      4      3      3      7      3      1      
Vardas2795          Pavarde2795         3      2      5      1      9      2      8      4      6      5      
Vardas2796          Pavarde2796         2      3      2      10     6      7      8      7      5      7      
Vardas2797          Pavarde2797         2      4      2      7      6      5      9      10     3      1      
Vardas2798          Pavarde2798         2      6      5      6      8      3      9      7      9      5      
Vardas2799          Pavarde2799         2      10     7      5      1      2      2      9      8      8      
Vardas2800          Pavarde2800         7      2      1      8      8      8      5      8      7      7      
Vardas2801          Pavarde2801         10     8      4      4      6      1      9      4      8      7      
Vardas2802          Pavarde2802         10     1      8      7      5      8      10     8      8      10     
Vardas2803          Pavarde2803         5      6      1      7      4      10     6      10     9      4      
Vardas2804          Pavarde2804         6      8      4      10     4      9      2      2      4      1      
Vardas2805          Pavarde2805         8      4      1      7      2      8      4      1      5      4      
Vardas2806          Pavarde2806         2      2      9      2      10     4      3      6      3      1      
Vardas2807          Pavarde2807         9      1      1      2      2      6      2      3      7      8      
Vardas2808          Pavarde2808         4      6      3      6      2      4      3      7      6      10     
Vardas2809          Pavarde2809         10     8      3      1      1      4      4      6      9      7      
Vardas2810          Pavarde2810         8      10     9      8      3      10     5      5      2      1      
Vardas2811          Pavarde2811         4      7      8      6      3      9      9      7      6      6      
Vardas2812          Pavarde2812         8      7      5      2      7      8      6      1      3      6      
Vardas2813          Pavarde2813         9      2      5      7      2      10     8      6      4      1      
Vardas2814          Pavarde2814         7      9      8      4      4      2      5      4      10     2      
Vardas2815          Pavarde2815         9      10     8      6      1      7      3      8      9      7      
Vardas2816          Pavarde2816         4      9      8      10     7      9      9      4      5      4      
Vardas2817          Pavarde2817         4      3      2      1      8      5      4      2      8      4      
Vardas2818          Pavarde2818         5      9      3      5      4      5      1      6      3      9      
Vardas2819          Pavarde2819         2      8      7      1      7      5      10     6      8      4      
Vardas2820          Pavarde2820         9      1      6      3      4      5      7      7      7      7      
Vardas2821          Pavarde2821         2      1      5      6      5      8      3      7      5      5      
Vardas2822          Pavarde2822         7      8      2      5      8      10     9      7      5      6      
Vardas2823          Pavarde2823         2      6      9      9      8      2      4      4      10     2      
Vardas2824          Pavarde2824         10     4      4      6      1      1      3      3      7      9      
Vardas2825          Pavarde2825         9      4      6      2      10     4      2      9      2      6      
Vardas2826          Pavarde2826         4      6      3      4      4      10     7      9      6      9      
Vardas2827          Pavarde2827         10     7      2      4      3      2      4      7      7      2      
Vardas2828          Pavarde2828         6      5      7      3      7      7      8      10     5      10     
Vardas2829          Pavarde2829         7      10     7      10     4      10     9      10     9      4      
Vardas2830          Pavarde2830         8      10     3      1      3      5      5      8      1      1      
Vardas2831          Pavarde2831         10     8      5      6      3      3      2      10     2      6      
Vardas2832          Pavarde2832         1      9      8      7      10     1      7      8      2      7      
Vardas2833          Pavarde2833         4      2      6      6      2      1      2      6      8      4      
Vardas2834          Pavarde2834         8      9      4      5      5      6      7      8      5      1      
Vardas2835          Pavarde2835         6      6      1      3      2      10     5      10     9      6      
Vardas2836          Pavarde2836         8      4      7      6      1      1      6      4      8      5      
Vardas2837          Pavarde2837         8      6      4      1      10     10     6      8      7      2      
Vardas2838          Pavarde2838         10     2      7      10     4      1      1      10     2      2      
Vardas2839          Pavarde2839         6      2      7      4      7      8      6      2      1      4      
Vardas2840          Pavarde2840         8      10     1      1      10     10     10     7      9      9      
Vardas2841          Pavarde2841         1      9      2      7      10     8      9      3      7      3      
Vardas2842          Pavarde2842         4      2      4      10     8      10     9      3      3      2      
Vardas2843          Pavarde2843         8      10     1      8      3      3      9      4      1      8      
Vardas2844          Pavarde2844         4      1      6      6      10     5      3      8      7      9      
Vardas2845          Pavarde2845         2      2      3      7      4      10     8      2      4      10     
Vardas2846          Pavarde2846         5      4      2      6      1      6      10     2      1      10     
Vardas2847          Pavarde2847         9      5      1      6      10     10     10     2      9      9      
Vardas2848          Pavarde2848         10     1      2      2      7      5      3      7      9      9      
Vardas2849          Pavarde2849         8      3      2      9      10     4      6      9      7      7      
Vardas2850          Pavarde2850         9      5      1      9      10     10     10     2      3      8      
Vardas2851          Pavarde2851         2      2      10     3      6      9      8      10     5      8      
Vardas2852          Pavarde2852         8      2      2      1      3      2      7      8      10     3      
Vardas2853          Pavarde2853         4      10     10     6      10     1      7      9      2      9      
Vardas2854          Pavarde2854         7      3      1      6      8      8      4      7      7      8      
Vardas2855          Pavarde2855         4      7      10     5      9      2      6      7      1      8      
Vardas2856          Pavarde2856         2      7      9      1      2      9      3      9      7      5      
Vardas2857          Pavarde2857         7      5      9      9      1      8      8      6      4      5      
Vardas2858          Pavarde2858         6      7      3      7      2      3      8      9      10     10     
Vardas2859          Pavarde2859         8      1      6      9      3      8      7      5      8      5      
Vardas2860          Pavarde2860         1      6      10     2      5      2      9      2      7      3      
Vardas2861          Pavarde2861         8      4      9      2      10     2      5      9      3      6      
Vardas2862          Pavarde2862         9      2      6      4      10     10     3      8      6      2      
Vardas2863          Pavarde2863         3      7      8      4      8      4      7      8      5      5      
Vardas2864          Pavarde2864         10     5      9      1      8      8      4      2      7      8      
Vardas2865          Pavarde2865         9      5      10     6      10     1      5      5      9      1      
Vardas2866          Pavarde2866         6      3      7      3      6      6      6      2      3      3      
Vardas2867          Pavarde2867         6      5      9      4      5      6      4      10     10     10     
Vardas2868          Pavarde2868         8      8      6      7      4      7      9      10     1      7      
Vardas2869          Pavarde2869         10     9      9      8      1      6      5      9      9      10     
Vardas2870          Pavarde2870         3      5      4      1      10     10     8      5      9      7      
Vardas2871          Pavarde2871         4      8      7      1      6      2      8      5      1      10     
Vardas2872          Pavarde2872         1      3      8      2      2      1      7      7      9      8      
Vardas2873          Pavarde2873         8      1      4      3      3      3      2      10     8      2      
Vardas2874          Pavarde2874         9      3      10     7      6      7      10     3      1      2      
Vardas2875          Pavarde2875         4      4      4      4      5      8      4      3      6      4      
Vardas2876          Pavarde2876         10     3      6      3      5      8      8      8      9      7      
Vardas2877          Pavarde2877         9      9      9      10     5      6      7      4      10     9      
Vardas2878          Pavarde2878         6      4      2      1      7      6      10     2      1      5      
Vardas2879          Pavarde2879         5      10     7      2      5      3      1      2      10     9      
Vardas2880          Pavarde2880         10     9      8      10     10     4      6      8      10     5      
Vardas2881          Pavarde2881         7      7      8      8      7      6      6      7      9      6      
Vardas2882          Pavarde2882         3      3      7      10     6      1      2      6      4      4      
Vardas2883          Pavarde2883         5      3      4      4      3      3      7      8      3      8      
Vardas2884          Pavarde2884         2      9      4      2      8      3      7      3      9      6      
Vardas2885          Pavarde2885         8      3      10     5      4      8      5      6      3      1      
Vardas2886          Pavarde2886         1      9      3      4      4      5      8      3      2      10     
Vardas2887          Pavarde2887         10     4      8      4      7      6      6      3      8      6      
Vardas2888          Pavarde2888         10     8      8      2      2      2      9      8      9      3      
Vardas2889          Pavarde2889         8      9      2      1      2      5      7      9      7      9      
Vardas2890          Pavarde2890         9      9      4      8      2      10     5      7      4      5      
Vardas2891          Pavarde2891         2      6      2      1      9      5      2      9      4      2      
Vardas2892          Pavarde2892         1      4      10     4      6      3      1      2      4      9      
Vardas2893          Pavarde2893         10     2      7      5      1      8      6      6      6      10     
Vardas2894          Pavarde2894         10     9      7      3      10     5      7      3      5      10     
Vardas2895          Pavarde2895         5      5      3      4      1      8      9      3      2      2      
Vardas2896          Pavarde2896         1      3      5      10     8      5      9      3      2      5      
Vardas2897          Pavarde2897         4      3      5      2      5      4      8      1      7      2      
Vardas2898          Pavarde2898         3      3      9      7      8      1      7      6      3      8      
Vardas2899          Pavarde2899         7      3      10     1      2      7      6      3      2      9      
Vardas2900          Pavarde2900         7      7      2      1      1      6      7      8      9      5      
Vardas2901          Pavarde2901         2      3      7      10     9      4      10     7      10     2      
Vardas2902          Pavarde2902         4      8      6      4      9      10     2      6      2      5      
Vardas2903          Pavarde2903         4      10     4      7      2      4      5      8      3      3      
Vardas2904          Pavarde2904         2      4      7      10     3      5      6      4      2      7      
Vardas2905          Pavarde2905         7      7      4      5      2      2      6      4      9      9      
Vardas2906          Pavarde2906         10     5      8      3      1      9      8      5      9      1      
Vardas2907          Pavarde2907         9      2      4      5      2      9      2      9      4      5      
Vardas2908          Pavarde2908         5      1      1      8      7      3      2      2      8      2      
Vardas2909          Pavarde2909         10     7      6      9      2      9      7      9      3      7      
Vardas2910          Pavarde2910         9      4      9      5      8      2      3      9      10     6      
Vardas2911          Pavarde2911         3      4      8      6      1      6      8      4      9      7      
Vardas2912          Pavarde2912         6      8      3      3      8      6      1      7      7      6      
Vardas2913          Pavarde2913         3      5      9      3      1      6      4      3      7      3      
Vardas2914          Pavarde2914         1      1      6      10     6      9      8      5      4      6      
Vardas2915          Pavarde2915         1      1      6      6      4      3      1      4      9      7      
Vardas2916          Pavarde2916         9      4      4      7      6      4      5      10     9      1      
Vardas2917          Pavarde2917         4      1      1      10     2      7      10     9      3      5      
Vardas2918          Pavarde2918         7      4      6      2      9      9      6      1      4      7      
Vardas2919          Pavarde2919         10     3      2      5      1      7      10     5      8      10     
Vardas2920          Pavarde2920         7      2      10     10     3      4      6      2      4      8      
Vardas2921          Pavarde2921         8      10     3      3      3      3      1      1      4      5      
Vardas2922          Pavarde2922         7      5      9      8      9      1      6      10     8      4      
Vardas2923          Pavarde2923         10     4      5      9      3      9      4      10     2      8      
Vardas2924          Pavarde2924         10     9      9      4      2      2      7      4      4      2      
Vardas2925          Pavarde2925         10     10     6      8      9      6      1      4      5      8      
Vardas2926          Pavarde2926         9      4      3      5      5      8      3      10     9      4      
Vardas2927          Pavarde2927         7      10     3      8      4      6      1      10     9      4      
Vardas2928          Pavarde2928         3      9      3      10     8      3      5      10     6      1      
Vardas2929          Pavarde2929         9      7      7      4      1      1      1      4      2      1      
Vardas2930          Pavarde2930         9      9      1      3      8      6      8      8      7      9      
Vardas2931          Pavarde2931         1      9      9      5      8      8      9      4      10     6      
Vardas2932          Pavarde2932         4      8      2      10     1      3      2      3      8      4      
Vardas2933          Pavarde2933         4      6      4      6      1      3      1      10     10     7      
Vardas2934          Pavarde2934         8      2      7      8      8      4      8      6      9      7      
Vardas2935          Pavarde2935         1      2      4      3      4      7      5      7      1      4      
Vardas2936          Pavarde2936         2      4      1      7      1      1      9      3      1      10     
Vardas2937          Pavarde2937         9      10     1      5      8      8      10     5      3      8      
Vardas2938          Pavarde2938         3      4      2      8      6      7      4      2      5      5      
Vardas2939          Pavarde2939         7      9      10     7      5      1      8      6      3      8      
Vardas2940          Pavarde2940         5      4      7      6      10     6      3      2      2      8      
Vardas2941          Pavarde2941         1      4      3      4      2      10     10     7      1      7      
Vardas2942          Pavarde2942         1      9      5      3      5      9      3      2      4      7      
Vardas2943          Pavarde2943         1      1      2      8      6      4      5      10     5      7      
Vardas2944          Pavarde2944         9      5      10     1      1      3      10     10     10     2      
Vardas2945          Pavarde2945         8      10     10     2      2      5      3      6      6      8      
Vardas2946          Pavarde2946         5      7      8      8      6      5      1      10     5      7      
Vardas2947          Pavarde2947         8      5      4      8      6      4      10     5      5      9      
Vardas2948          Pavarde2948         7      3      1      8      4      4      2      6      2      10     
Vardas2949          Pavarde2949         4      8      8      3      5      3      8      8      4      4      
Vardas2950          Pavarde2950         4      2      8      9      1      3      2      2      10     7      
Vardas2951          Pavarde2951         3      8      1      3      5      4      8      7      2      9      
Vardas2952          Pavarde2952         6      7      8      5      9      5      9      6      2      2      
Vardas2953          Pavarde2953         1      7      5      9      6      7      3      9      9      2      
Vardas2954          Pavarde2954         5      1      9      7      5      6      1      2      2      2      
Vardas2955          Pavarde2955         3      9      10     10     3      8      4      1      6      7      
Vardas2956          Pavarde2956         4      6      4      1      6      1      7      9      9      7      
Vardas2957          Pavarde2957         2      6      7      3      2      1      8      4      5      1      
Vardas2958          Pavarde2958         7      9      1      6      8      5      4      4      7      1      
Vardas2959          Pavarde2959         2      10     8      7      2      4      7      9      2      6      
Vardas2960          Pavarde2960         5      5      3      4      7      4      6      4      10     10     
Vardas2961          Pavarde2961         6      6      8      6      2      8      10     7      3      6      
Vardas2962          Pavarde2962         7      4      8      4      1      9      7      9      9      10     
Vardas2963          Pavarde2963         6      6      5      8      9      3      4      6      9      3      
Vardas2964          Pavarde2964         6      4      8      5      10     9      4      1      7      6      
Vardas2965          Pavarde2965         7      3      2      6      7      4      4      5      2      5      
Vardas2966          Pavarde2966         7      8      10     3      7      10     5      10     5      3      
Vardas2967          Pavarde2967         4      2      7      2      7      8      2      10     10     9      
Vardas2968          Pavarde2968         8      6      3      9      3      1      2      7      6      5      
Vardas2969          Pavarde2969         3      4      2      2      6      9      3      10     10     7      
Vardas2970          Pavarde2970         3      4      9      1      7      7      10     10     8      9      
Vardas2971          Pavarde2971         8      7      7      1      5      9      1      8      7      8      
Vardas2972          Pavarde2972         5      9      1      6      10     6      6      2      8      8      
Vardas2973          Pavarde2973         1      2      3      1      2      9      9      3      8      6      
Vardas2974          Pavarde2974         1      8      3      9      10     9      8      2      9      4      
Vardas2975          Pavarde2975         10     3      3      2      10     4      10     8      8      7      
Vardas2976          Pavarde2976         5      10     8      9      10     1      7      8      3      6      
Vardas2977          Pavarde2977         5      5      5      9      4      4      8      3      6      8      
Vardas2978          Pavarde2978         8      7      10     2      8      9      8      7      8      5      
Vardas2979          Pavarde2979         5      2      6      2      10     5      4      8      4      6      
Vardas2980          Pavarde2980         6      10     3      10     9      8      4      8      2      1      
Vardas2981          Pavarde2981         5      9      7      6      1      6      6      8      3      4      
Vardas2982          Pavarde2982         4      7      7      9      1      7      5      4      6      10     
Vardas2983          Pavarde2983         2      1      9      6      3      9      3      8      6      4      
Vardas2984          Pavarde2984         8      2      4      6      7      4      1      3      3      5      
Vardas2985          Pavarde2985         6      8      4      2      6      6      10     2      9      8      
Vardas2986          Pavarde2986         1      2      8      10     7      2      10     9      9      6      
Vardas2987          Pavarde2987         4      8      9      8      3      6      3      6      10     8      
Vardas2988          Pavarde2988         2      5      5      5      8      3      10     8      4      1      
Vardas2989          Pavarde2989         5      5      2      4      6      9      6      5      9      6      
Vardas2990          Pavarde2990         2      3      4      1      2      8      8      4      3      7      
Vardas2991          Pavarde2991         3      5      3      8      1      10     10     3      9      3      
Vardas2992          Pavarde2992         3      5      9      6      9      4      4      6      1      5      
Vardas2993          Pavarde2993         3      4      7      6      4      10     4      3      3      8      
Vardas2994          Pavarde2994         9      8      2      1      5      3      1      4      5      9      
Vardas2995          Pavarde2995         8      9      6      7      4      4      2      10     1      2      
Vardas2996          Pavarde2996         4      5      8      2      1      1      1      6      4      5      
Vardas2997          Pavarde2997         3      4      2      7      5      6      9      7      1      5      
Vardas2998          Pavarde2998         7      1      3      2      7      8      7      10     7      7      
Vardas2999          Pavarde2999         4      10     4      1      3      4      3      3      1      8      
Vardas3000          Pavarde3000         8      3      2      1      9      6      7      9      2      9      
Vardas3001          Pavarde3001         5      8      9      7      2      7      5      8      7      3      
Vardas3002          Pavarde3002         5      10     5      10     2      7      3      4      10     5      
Vardas3003          Pavarde3003         2      9      9      3      9      10     10     7      8      3      
Vardas3004          Pavarde3004         6      3      2      6      1      3      3      7      1      1      
Vardas3005          Pavarde3005         10     7      2      6      6      3      2      10     6      3      
Vardas3006          Pavarde3006         4      9      1      2      1      10     1      10     8      1      
Vardas3007          Pavarde3007         4      3      3      6      1      5      8      5      4      8      
Vardas3008          Pavarde3008         5      5      4      6      10     1      10     1      10     5      
Vardas3009          Pavarde3009         4      3      6      6      5      6      5      5      8      3      
Vardas3010          Pavarde3010         5      1      7      9      8      9      6      6      3      9      
Vardas3011          Pavarde3011         5      7      3      9      4      2      1      3      4      1      
Vardas3012          Pavarde3012         10     9      3      5      5      7      2      1      4      9      
Vardas3013          Pavarde3013         3      10     2      2      1      9      10     8      6      3      
Vardas3014          Pavarde3014         6      1      1      10     1      5      3      1      9      6      
Vardas3015          Pavarde3015         1      8      5      4      4      9      2      6      1      7      
Vardas3016          Pavarde3016         6      4      9      9      7      1      10     8      8      5      
Vardas3017          Pavarde3017         2      5      5      5      4      7      9      6      8      9      
Vardas3018          Pavarde3018         3      10     9      7      5      2      7      9      9      8      
Vardas3019          Pavarde3019         7      5      3      7      3      1      7      2      10     6      
Vardas3020          Pavarde3020         9      2      10     5      6      5      2      6      2      1      
Vardas3021          Pavarde3021         4      5      10     4      3      7      6      2      5      4      
Vardas3022          Pavarde3022         9      3      10     3      10     5      5      6      8      4      
Vardas3023          Pavarde3023         4      6      5      3      1      2      10     4      9      1      
Vardas3024          Pavarde3024         4      3      7      5      6      10     3      3      1      9      
Vardas3025          Pavarde3025         9      1      2      8      5      1      2      9      6      10     
Vardas3026          Pavarde3026         2      9      7      9      4      7      2      5      2      1      
Vardas3027          Pavarde3027         5      7      5      2      4      2      3      6      5      3      
Vardas3028          Pavarde3028         5      5      5      6      2      9      6      6      7      3      
Vardas3029          Pavarde3029         7      10     4      3      10     9      2      2      3      3      
Vardas3030          Pavarde3030         4      9      10     8      2      5      9      4      10     5      
Vardas3031          Pavarde3031         8      6      1      2      3      3      10     10     10     8      
Vardas3032          Pavarde3032         5      6      10     8      8      9      8      9      10     2      
Vardas3033          Pavarde3033         4      3      10     5      2      4      9      3      9      10     
Vardas3034          Pavarde3034         9      7      6      10     10     8      4      2      8      3      
Vardas3035          Pavarde3035         1      4      8      10     1      7      9      10     8      10     
Vardas3036          Pavarde3036         1      1      5      2      5      6      5      5      8      6      
Vardas3037          Pavarde3037         4      9      2      9      8      3      9      3      4      8      
Vardas3038          Pavarde3038         5      5      1      4      6      3      2      4      2      9      
Vardas3039          Pavarde3039         4      4      9      10     5      5      5      2      9      5      
Vardas3040          Pavarde3040         7      3      3      10     3      2      4      3      6      8      
Vardas3041          Pavarde3041         10     10     4      2      5      1      4      6      5      7      
Vardas3042          Pavarde3042         5      10     10     5      9      7      10     5      10     10     
Vardas3043          Pavarde3043         1      8      4      5      7      7      6      10     9      1      
Vardas3044          Pavarde3044         9      1      2      4      4      8      5      10     4      1      
Vardas3045          Pavarde3045         6      10     2      8      6      2      6      7      8      5      
Vardas3046          Pavarde3046         7      9      2      10     3      10     8      1      1      7      
Vardas3047          Pavarde3047         3      2      9      7      5      2      4      1      1      9      
Vardas3048          Pavarde3048         3      9      10     6      8      6      7      3      2      5      
Vardas3049          Pavarde3049         9      10     3      2      10     7      3      7      7      3      
Vardas3050          Pavarde3050         5      10     4      3      6      1      7      1      3      9      
Vardas3051          Pavarde3051         10     8      9      9      3      6      6      10     10     8      
Vardas3052          Pavarde3052         6      10     7      10     1      8      6      3      5      3      
Vardas3053          Pavarde3053         8      1      4      3      4      1      5      2      1      8      
Vardas3054          Pavarde3054         2      2      7      1      3      9      6      8      10     8      
Vardas3055          Pavarde3055         5      5      7      4      4      10     1      10     4      7      
Vardas3056          Pavarde3056         4      1      8      9      6      3      9      10     6      1      
Vardas3057          Pavarde3057         9      7      3      5      7      5      6      5      4      5      
Vardas3058          Pavarde3058         2      9      10     10     4      5      9      6      6      5      
Vardas3059          Pavarde3059         3      9      5      2      9      2      4      7      2      9      
Vardas3060          Pavarde3060         8      2      5      2      7      4      8      2      8      1      
Vardas3061          Pavarde3061         6      1      1      7      10     4      4      1      2      9      
Vardas3062          Pavarde3062         5      4      10     1      5      8      3      10     7      6      
Vardas3063          Pavarde3063         8      6      7      4      9      5      7      6      8      6      
Vardas3064          Pavarde3064         6      6      8      9      4      8      4      7      10     5      
Vardas3065          Pavarde3065         8      6      8      9      6      4      6      10     3      4      
Vardas3066          Pavarde3066         7      2      1      4      8      9      10     6      4      8      
Vardas3067          Pavarde3067         4      2      3      1      10     6      10     3      3      9      
Vardas3068          Pavarde3068         8      2      4      7      10     2      3      7      3      7      
Vardas3069          Pavarde3069         1      10     1      1      5      8      10     4      5      5      
Vardas3070          Pavarde3070         1      8      6      5      9      7      1      10     2      5      
Vardas3071          Pavarde3071         9      1      8      4      9      7      7      1      3      10     
Vardas3072          Pavarde3072         8      5      1      10     8      5      7      9      8      3      
Vardas3073          Pavarde3073         3      1      1      1      7      1      9      9      10     10     
Vardas3074          Pavarde3074         5      10     10     2      6      9      8      4      1      3      
Vardas3075          Pavarde3075         5      10     7      5      9      6      1      7      4      1      
Vardas3076          Pavarde3076         10     9      1      2      9      7      2      9      6      3      
Vardas3077          Pavarde3077         9      10     5      10     4      2      10     1      5      1      
Vardas3078          Pavarde3078         5      10     2      4      6      1      9      7      7      3      
Vardas3079          Pavarde3079         7      8      1      9      9      1      7      2      9      4      
Vardas3080          Pavarde3080         5      9      6      1      1      9      2      10     1      6      
Vardas3081          Pavarde3081         2      6      7      4      9      5      6      9      3      4      
Vardas3082          Pavarde3082         1      1      2      3      9      2      5      7      4      6      
Vardas3083          Pavarde3083         1      10     6      8      10     6      8      1      8      8      
Vardas3084          Pavarde3084         8      1      5      7      6      5      1      1      4      5      
Vardas3085          Pavarde3085         5      6      5      8      1      3      9      5      1      2      
Vardas3086          Pavarde3086         2      3      3      8      10     2      5      7      4      2      
Vardas3087          Pavarde3087         7      4      3      3      10     8      8      2      1      3      
Vardas3088          Pavarde3088         6      7      8      10     4      8      4      2      5      4      
Vardas3089          Pavarde3089         6      6      9      8      5      8      10     2      7      5      
Vardas3090          Pavarde3090         3      5      8      7      7      7      7      6      10     7      
Vardas3091          Pavarde3091         8      5      3      8      6      8      5      9      1      1      
Vardas3092          Pavarde3092         5      6      9      3      4      3      2      5      4      10     
Vardas3093          Pavarde3093         9      9      4      9      7      3      5      3      10     7      
Vardas3094          Pavarde3094         1      10     1      5      7      7      4      3      5      5      
Vardas3095          Pavarde3095         4      1      10     2      3      5      6      7      9      2      
Vardas3096          Pavarde3096         6      10     2      2      10     8      6      6      3      5      
Vardas3097          Pavarde3097         2      5      6      3      10     2      1      3      5      5      
Vardas3098          Pavarde3098         7      10     8      9      3      2      3      8      8      4      
Vardas3099          Pavarde3099         1      6      5      2      7      4      2      2      9      4      
Vardas3100          Pavarde3100         8      1      8      4      5      9      7      5      4      1      
Vardas3101          Pavarde3101         1      2      2      8      10     4      2      5      2      9      
Vardas3102          Pavarde3102         8      4      4      4      6      2      7      9      3      7      
Vardas3103          Pavarde3103         2      3      9      1      8      3      2      4      9      7      
Vardas3104          Pavarde3104         7      10     8      8      9      10     2      10     6      5      
Vardas3105          Pavarde3105         9      5      8      4      8      5      6      6      5      10     
Vardas3106          Pavarde3106         2      8      4      3      9      1      5      2      5      4      
Vardas3107          Pavarde3107         8      1      5      7      10     3      8      3      3      5      
Vardas3108          Pavarde3108         7      3      9      7      8      8      3      3      3      8      
Vardas3109          Pavarde3109         5      7      5      8      9      5      9      5      8      5      
Vardas3110          Pavarde3110         10     7      7      6      6      6      9      3      9      3      
Vardas3111          Pavarde3111         10     7      7      8      5      6      8      8      9      10     
Vardas3112          Pavarde3112         7      5      8      3      2      8      8      2      5      7      
Vardas3113          Pavarde3113         8      6      4      4      2      9      10     2      3      10     
Vardas3114          Pavarde3114         6      2      6      4      2      1      9      9      10     9      
Vardas3115          Pavarde3115         10     6      3      8      8      7      7      7      10     1      
Vardas3116          Pavarde3116         4      8      9      9      1      10     7      2      3      1      
Vardas3117          Pavarde3117         1      8      5      9      1      6      1      9      6      10     
Vardas3118          Pavarde3118         8      5      7      2      4      6      8      3      5      10     
Vardas3119          Pavarde3119         5      10     7      3      8      9      2      6      1      4      
Vardas3120          Pavarde3120         8      3      3      2      3      5      9      3      4      4      
Vardas3121          Pavarde3121         4      3      1      2      6      6      8      4      10     2      
Vardas3122          Pavarde3122         5      5      3      1      7      10     9      1      7      1      
Vardas3123          Pavarde3123         6      4      6      1      6      8      5      6      3      8      
Vardas3124          Pavarde3124         2      6      2      4      8      8      1      7      3      1      
Vardas3125          Pavarde3125         10     7      5      2      9      3      1      9      5      7      
Vardas3126          Pavarde3126         10     3      2      5      3      9      4      7      5      6      
Vardas3127          Pavarde3127         7      6      2      10     9      1      7      1      7      1      
Vardas3128          Pavarde3128         1      6      7      7      7      7      2      9      6      6      
Vardas3129          Pavarde3129         7      7      10     8      1      2      7      6      1      3      
Vardas3130          Pavarde3130         2      7      10     5      6      10     7      5      10     5      
Vardas3131          Pavarde3131         5      1      10     4      7      8      10     10     8      7      
Vardas3132          Pavarde3132         6      6      3      7      3      5      9      1      1      9      
Vardas3133          Pavarde3133         5      2      7      4      8      4      3      4      10     3      
Vardas3134          Pavarde3134         8      5      3      9      10     1      8      1      1      5      
Vardas3135          Pavarde3135         8      8      10     2      4      4      7      4      7      7      
Vardas3136          Pavarde3136         4      1      10     10     5      7      6      9      10     5      
Vardas3137          Pavarde3137         1      9      1      5      7      10     8      4      3      8      
Vardas3138          Pavarde3138         10     2      7      1      3      2      4      1      6      2      
Vardas3139          Pavarde3139         9      1      3      8      3      9      6      8      7      7      
Vardas3140          Pavarde3140         4      10     5      5      4      3      6      1      6      10     
Vardas3141          Pavarde3141         10     7      1      8      7      6      10     3      8      7      
Vardas3142          Pavarde3142         4      7      9      8      4      1      6      2      10     5      
Vardas3143          Pavarde3143         8      4      4      3      10     9      7      7      10     3      
Vardas3144          Pavarde3144         7      1      1      9      9      8      4      10     10     2      
Vardas3145          Pavarde3145         8      5      8      6      3      3      9      10     4      8      
Vardas3146          Pavarde3146         4      4      3      9      8      2      8      4      9      9      
Vardas3147          Pavarde3147         8      7      1      9      5      1      6      9      2      7      
Vardas3148          Pavarde3148         2      9      3      1      7      5      5      5      7      1      
Vardas3149          Pavarde3149         4      2      4      7      1      3      10     10     6      10     
Vardas3150          Pavarde3150         10     4      6      10     2      1      1      9      1      4      
Vardas3151          Pavarde3151         5      4      3      7      4      1      4      10     5      10     
Vardas3152          Pavarde3152         10     10     3      5      6      3      7      8      4      5      
Vardas3153          Pavarde3153         7      3      8      3      5      1      5      7      1      5      
Vardas3154          Pavarde3154         10     5      8      4      3      3      4      8      2      8      
Vardas3155          Pavarde3155         9      4      8      2      8      5      6      7      4      10     
Vardas3156          Pavarde3156         1      1      4      10     5      8      2      1      6      2      
Vardas3157          Pavarde3157         5      6      8      4      9      2      6      3      10     9      
Vardas3158          Pavarde3158         2      10     2      1      3      2      8      9      10     1      
Vardas3159          Pavarde3159         10     2      3      5      1      7      3      4      9      8      
Vardas3160          Pavarde3160         5      3      5      2      8      4      5      3      8      6      
Vardas3161          Pavarde3161         4      9      6      5      2      8      8      9      8      7      
Vardas3162          Pavarde3162         9      9      8      4      4      10     2      8      3      1      
Vardas3163          Pavarde3163         7      7      3      2      10     3      7      5      7      4      
Vardas3164          Pavarde3164         2      10     4      7      7      7      7      4      5      6      
Vardas3165          Pavarde3165         3      6      5      2      9      8      2      2      5      6      
Vardas3166          Pavarde3166         2      1      3      7      4      4      9      10     10     5      
Vardas3167          Pavarde3167         5      2      5      1      10     1      7      8      6      2      
Vardas3168          Pavarde3168         4      10     9      8      2      9      5      3      10     1      
Vardas3169          Pavarde3169         8      2      1      2      8      7      8      6      6      9      
Vardas3170          Pavarde3170         2      1      2      6      3      2      8      9      9      6      
Vardas3171          Pavarde3171         10     2      5      10     1      6      8      5      10     8      
Vardas3172          Pavarde3172         7      10     1      10     3      8      6      2      5      1      
Vardas3173          Pavarde3173         1      6      3      4      4      5      5      1      4      6      
Vardas3174          Pavarde3174         8      5      9      3      7      10     10     4      6      2      
Vardas3175          Pavarde3175         3      3      3      3      2      7      2      9      9      8      
Vardas3176          Pavarde3176         9      1      6      4      4      9      10     1      1      5      
Vardas3177          Pavarde3177         8      1      2      6      3      8      7      4      3      3      
